antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Course 1 - Summer_Medium'}),frozenset({'Course 1 - Century_High'}),0.0673076923076923,0.10576923076923077,0.028846153846153848,0.4285714285714286,4.051948051948052,1.0,0.021727071005917163,1.5649038461538463,0.8075601374570447,0.20000000000000004,0.3609831029185868,0.35064935064935066
frozenset({'Course 1 - Century_High'}),frozenset({'Course 1 - Summer_Medium'}),0.10576923076923077,0.0673076923076923,0.028846153846153848,0.27272727272727276,4.051948051948052,1.0,0.021727071005917163,1.2824519230769231,0.8422939068100359,0.20000000000000004,0.22024367385192134,0.35064935064935066
frozenset({'Course 3 - Week_Medium'}),frozenset({'Course 1 - Century_High'}),0.07692307692307693,0.10576923076923077,0.019230769230769232,0.25,2.3636363636363638,1.0,0.011094674556213019,1.1923076923076923,0.625,0.1176470588235294,0.16129032258064513,0.2159090909090909
frozenset({'Course 1 - Century_High'}),frozenset({'Course 3 - Week_Medium'}),0.10576923076923077,0.07692307692307693,0.019230769230769232,0.18181818181818182,2.3636363636363638,1.0,0.011094674556213019,1.1282051282051284,0.6451612903225806,0.1176470588235294,0.11363636363636363,0.2159090909090909
frozenset({'Course 4 - Look_High'}),frozenset({'Course 1 - Century_High'}),0.09615384615384616,0.10576923076923077,0.019230769230769232,0.2,1.890909090909091,1.0,0.009060650887573966,1.1177884615384615,0.5212765957446809,0.10526315789473684,0.10537634408602152,0.19090909090909092
frozenset({'Course 1 - Century_High'}),frozenset({'Course 4 - Look_High'}),0.10576923076923077,0.09615384615384616,0.019230769230769232,0.18181818181818182,1.8909090909090909,1.0,0.009060650887573966,1.1047008547008548,0.5268817204301076,0.10526315789473684,0.09477756286266925,0.19090909090909092
frozenset({'Course 1 - Century_High'}),frozenset({'Course 4 - Purpose_High'}),0.10576923076923077,0.125,0.019230769230769232,0.18181818181818182,1.4545454545454546,1.0,0.006009615384615386,1.0694444444444444,0.34946236559139787,0.0909090909090909,0.06493506493506494,0.16783216783216784
frozenset({'Course 4 - Purpose_High'}),frozenset({'Course 1 - Century_High'}),0.125,0.10576923076923077,0.019230769230769232,0.15384615384615385,1.4545454545454546,1.0,0.006009615384615386,1.0568181818181819,0.35714285714285715,0.0909090909090909,0.05376344086021506,0.16783216783216784
frozenset({'Course 1 - Century_High'}),frozenset({'Course 5 - Lead_High'}),0.10576923076923077,0.10576923076923077,0.019230769230769232,0.18181818181818182,1.71900826446281,1.0,0.008043639053254439,1.092948717948718,0.467741935483871,0.10000000000000002,0.08504398826979473,0.18181818181818182
frozenset({'Course 5 - Lead_High'}),frozenset({'Course 1 - Century_High'}),0.10576923076923077,0.10576923076923077,0.019230769230769232,0.18181818181818182,1.71900826446281,1.0,0.008043639053254439,1.092948717948718,0.467741935483871,0.10000000000000002,0.08504398826979473,0.18181818181818182
frozenset({'Course 5 - Lead_Medium'}),frozenset({'Course 1 - Century_High'}),0.11538461538461539,0.10576923076923077,0.019230769230769232,0.16666666666666666,1.5757575757575757,1.0,0.007026627218934912,1.073076923076923,0.4130434782608696,0.09523809523809525,0.06810035842293906,0.17424242424242425
frozenset({'Course 1 - Century_High'}),frozenset({'Course 5 - Lead_Medium'}),0.10576923076923077,0.11538461538461539,0.019230769230769232,0.18181818181818182,1.5757575757575757,1.0,0.007026627218934912,1.0811965811965811,0.40860215053763443,0.09523809523809525,0.07509881422924901,0.17424242424242425
frozenset({'Course 2 - Ahead_Medium'}),frozenset({'Course 1 - Century_Medium'}),0.08653846153846154,0.0673076923076923,0.019230769230769232,0.22222222222222224,3.301587301587302,1.0,0.013406065088757399,1.1991758241758241,0.7631578947368423,0.14285714285714285,0.1660939289805269,0.253968253968254
frozenset({'Course 1 - Century_Medium'}),frozenset({'Course 2 - Ahead_Medium'}),0.0673076923076923,0.08653846153846154,0.019230769230769232,0.28571428571428575,3.3015873015873023,1.0,0.013406065088757399,1.278846153846154,0.7474226804123713,0.14285714285714285,0.21804511278195493,0.253968253968254
frozenset({'Course 3 - Do_High'}),frozenset({'Course 1 - Century_Medium'}),0.11538461538461539,0.0673076923076923,0.028846153846153848,0.25,3.7142857142857144,1.0,0.021079881656804737,1.2435897435897436,0.8260869565217392,0.1875,0.19587628865979384,0.3392857142857143
frozenset({'Course 1 - Century_Medium'}),frozenset({'Course 3 - Do_High'}),0.0673076923076923,0.11538461538461539,0.028846153846153848,0.4285714285714286,3.7142857142857144,1.0,0.021079881656804737,1.5480769230769231,0.7835051546391754,0.1875,0.35403726708074534,0.3392857142857143
frozenset({'Course 1 - Century_Medium'}),frozenset({'Course 3 - Key_Low'}),0.0673076923076923,0.057692307692307696,0.019230769230769232,0.28571428571428575,4.9523809523809526,1.0,0.015347633136094677,1.3192307692307694,0.8556701030927836,0.18181818181818182,0.24198250728862977,0.30952380952380953
